,Gene,mean,median,sd,max,PTID,Time,Residual
ROR1,ROR1,2.6495072,2.65657817555989,0.20676727254898,3.15620243192264,48.6261599606162,5.64550290033467,45.7283371390491
OSMR,OSMR,1.2609945,1.25936210136542,0.0637704237104629,1.47238378969464,48.3502917514583,0.0,51.6497082485416
CGB3,CGB3,3.5925801,3.55738642487595,0.480820590568022,4.64826984910163,48.284110464257004,12.748359130091199,38.9675304056518
LAP3,LAP3,1.7494978,1.76845960178666,0.193932314881002,2.31463852669988,48.214052237368,6.521158651388951,45.2647891112431
LEPR,LEPR,6.019189,6.08061852140005,0.623052503198507,9.64799924577124,48.1055373327643,1.44966322054805,50.4447994466877
LGALS3,LGALS3,4.255454,4.25372644535298,0.179158359065934,4.80884322150233,48.0422049661415,5.4874580879577595,46.4703369459007
VAT1,VAT1,4.4348294,4.43947016191587,0.142021299754119,4.76454786008175,47.7902674385832,0.0,52.2097325614168
GOPC,GOPC,2.833274,2.7870104292278,0.565602720140586,4.69408900022926,47.6904175370651,17.2421247868631,35.0674576760717
SELL,SELL,8.5651618,8.58235368871304,0.228864403037789,8.99003019585346,47.5534169697683,0.0,52.4465830302317
FUS,FUS,2.2943776,2.25419275144047,0.230572170121249,2.87841146477366,47.3806824997667,12.1231900704046,40.4961274298287
MLN,MLN,2.9701289,2.91349109958998,0.46088141628987,4.18412157336296,47.3697621572274,0.238248097240835,52.391989745531795
IL17A,IL17A,2.5972287,2.57942328976799,0.261978392519146,3.28615666204646,47.285515416361804,8.66739883647529,44.0470857471629
CCL2,CCL2,10.927431,10.8774119569869,0.298477116890463,11.9440996091267,47.0789893288455,4.66972260270441,48.2512880684501
EGF,EGF,6.6975385,6.81592914772993,0.860994852446975,8.53918324363974,47.0357873029922,24.133095179643,28.831117517364802
ICOSLG,ICOSLG,5.063162,5.06171116604548,0.115593681794611,5.29237317313963,46.8930911584643,0.0,53.106908841535706
LRPAP1,LRPAP1,7.7525335,7.75084843846674,0.247219197269626,8.3853909138369,46.7716680030415,10.3934969892681,42.8348350076904
BID,BID,1.4614972,1.44757919654888,0.180027956254474,1.8050447613704,46.7676247818574,15.3585306003753,37.8738446177672
DPP6,DPP6,3.5510789,3.5419564639194,0.182111256498221,3.98364121648618,46.7145683516397,0.0,53.2854316483603
LSP1,LSP1,4.2987223,4.21706389835064,0.275978588919295,4.93314297595956,46.6982592472864,9.73357357083713,43.5681671818765
CD4,CD4,4.4319255,4.45864465908882,0.176173812867214,4.77781419987527,46.5269844840221,1.762742582314,51.7102729336639
GZMA,GZMA,5.5744182,5.53399136031275,0.193051003515411,6.07407508119378,46.5184400747013,0.0,53.481559925298704
IL15RA,IL15RA,2.5901598,2.61819594283366,0.178386689547014,3.01197860320351,46.4656836214514,11.053986302214,42.480330076334496
ICAM1,ICAM1,5.9217672,5.95333268829947,0.225255802756788,6.35331446839227,46.2753429718342,0.0,53.7246570281657
ACVRL1,ACVRL1,6.371316,6.38143942759939,0.136168581845733,6.69931980771771,46.1328295991296,0.0,53.8671704008704
CA2,CA2,4.0933946,4.05601921806785,0.511123359582836,5.56366152116936,46.084722250183,0.015467876463679598,53.8998098733533
METAP1D,METAP1D,3.8036532,3.83253772196856,0.722944932766574,5.65328362897371,45.950123921656896,14.680864300114399,39.3690117782287
VASN,VASN,1.9911859,1.97880326774963,0.10745381496277,2.2681049735405,45.440417482278,0.0,54.559582517722006
ANGPT2,ANGPT2,2.4445352,2.41954877571535,0.17100799487978,2.90135929259626,45.4272670295799,0.0,54.5727329704201
SCARA5,SCARA5,8.1591823,8.14816433599625,0.134371470788289,8.48963926622982,45.4175502528174,0.36096955104975303,54.2214801961328
TIGAR,TIGAR,2.098561,2.08246416393369,0.186439181227092,2.5573365626837,45.2702720720877,8.32703013202415,46.402697795888095
IL10,IL10,4.4058925,4.38663711786649,0.229800454797192,5.01234966042078,45.2619926716149,0.0,54.738007328385095
B4GALT1,B4GALT1,3.0603297,3.05069616791541,0.171405549057969,3.67469791741737,45.210404917447,6.89505794115701,47.894537141396
KRT19,KRT19,3.0401787,3.05555243646618,0.319073207916858,3.81101883301798,45.0998059489472,0.0,54.9001940510528
PLXNB2,PLXNB2,1.9418896,1.93621281301952,0.123920421420695,2.30897240260059,44.9743837098941,0.0,55.02561629010591
CGA,CGA,3.4892606,3.48121496810527,0.42215785773977,4.39932834584624,44.8954452395403,11.5789063428999,43.5256484175598
SH2D1A,SH2D1A,2.1033377,2.08630166965129,0.162485888092677,2.55988333124832,44.8357240237308,14.2276300010094,40.9366459752598
CXCL9,CXCL9,7.3558627,7.33131647536303,0.397578581850744,8.59146512383092,44.6443839142622,0.0,55.3556160857377
CXCL8,CXCL8,4.7980599,4.83454159741072,0.30056548527072,5.36647259643635,44.6425156342074,6.469529593048639,48.887954772744
HS6ST1,HS6ST1,4.5943794,4.59224968623136,0.314596620849846,5.30780008061057,44.6166739631234,0.0,55.3833260368766
NMNAT1,NMNAT1,2.673113,2.67394764364935,0.291684970996542,3.36819562655146,44.4756884773875,18.4557168631092,37.068594659503304
QPCT,QPCT,1.027407,1.02877280670639,0.103979819324341,1.26177149506894,44.234402653348,0.227653020164586,55.5379443264874
ERP44,ERP44,4.6789534,4.69311733571977,0.197568304483899,5.25421608724232,44.2028654715156,8.01801054139215,47.7791239870923
CNTN4,CNTN4,4.6228667,4.60187839966248,0.161066517720455,5.00406087603432,44.1430410624375,7.96235597093919,47.8946029666233
SMPD1,SMPD1,4.2053768,4.15929789701339,0.295882843578979,5.07244456245324,44.030900390757296,0.520597914302418,55.4485016949403
ADGRG2,ADGRG2,3.2289313,3.2512331420189,0.206980101119349,3.75106732192117,44.029108907389805,5.3835014251720606e-08,55.97089103877519
None,None,3.2979616,3.29713214448909,0.187609204721058,3.69698421273103,43.7873076463072,5.68289044623813,50.5298019074547
TRIM21,TRIM21,2.425377,2.40190874961683,0.267869598703058,3.10413533948403,43.761431669808296,20.3478994226315,35.890668907560205
TNFRSF12A,TNFRSF12A,4.3765687,4.2871183928183,0.442838864984867,5.42063061197369,43.5234176054377,0.0,56.4765823945623
UMOD,UMOD,1.9461665,1.94440870453277,0.113718096028058,2.21701351997353,43.208626301986506,8.14257926917557,48.6487944288379
TNF,TNF,3.8919639,3.8669372325584,0.248801778278867,4.82481366841923,43.1204973826441,6.870629918112161,50.0088726992437
TFPI,TFPI,8.6115165,8.57894278837968,0.216622519346542,9.36196416426574,43.0003622729338,10.7068975864926,46.2927401405736
CLEC4C,CLEC4C,4.6121009,4.6269012314917,0.155169532369346,4.90151376293552,42.9713539941389,3.6267478320769904,53.401898173784105
GZMB,GZMB,3.3160854,3.37136944844146,0.391169266357721,5.23402989981215,42.651690333573896,4.58638754016107,52.761922126265105
CDKN1A,CDKN1A,4.1439308,3.9985678366376,0.802913556662068,6.03751181272254,42.5872125506471,24.824774283839197,32.5880131655137
CLEC1B,CLEC1B,9.885876,9.80158264319326,0.738374341619739,11.455073955773,42.562058966223596,22.0816284985996,35.3563125351768
BCR,BCR,4.2744241,4.28897968304854,0.587673572837357,5.36816069708997,42.469432029787804,23.7683758656008,33.7621921046115
CD58,CD58,2.7816802,2.77429653423784,0.157690898061634,3.1521671906731,42.3668029680166,12.4523011262501,45.1808959057333
